Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200306,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,1,3,11.320754716981131,2,0,0,NA,2,0,NA,:,NA,:,0,0
20200306,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,7,105,28.065111057653755,13,1,7.6923076923076925,5.084745762711865,13,0,NA,:,NA,:,1,0
20200306,S08000030,NHS Tayside,0,1,0.2400672188212699,0,0,0,0,16,147,35.28988116672669,41,1,2.4390243902439024,5.228758169934641,41,0,NA,:,NA,:,1,0
20200306,S08000031,NHS Greater Glasgow and Clyde,1,3,0.25311329351017514,0.25311329351017514,0,0,0,69,465,39.23256049407715,101,1,0.99009900990099,1.0121457489878545,101,0,NA,:,NA,:,1,0
20200306,S08000032,NHS Lanarkshire,1,2,0.30213305939935947,0.30213305939935947,0,0,0,22,184,27.796241464741072,32,1,3.125,1.11731843575419,32,0,NA,:,NA,:,1,0
20200306,S92000003,Scotland,6,21,0.3841931942919868,0.3658982802780827,0,0,0,199,1826,33.40651298938895,324,12,3.7037037037037033,2.6599113362887903,324,0,NA,NA,NA,:,12,0
20200307,S08000015,NHS Ayrshire and Arran,1,2,0.5434930297018941,0.5434930297018941,0,0,0,7,101,27.44639799994565,15,1,6.666666666666667,3.125,15,0,NA,:,NA,:,1,0
20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,43,37.3134328358209,2,0,0,0,2,0,NA,:,NA,:,0,0
20200307,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,7,85,57.32011598894059,7,0,0,0,7,0,NA,:,NA,:,0,0
20200307,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,11,156,50.99205700650475,26,2,7.6923076923076925,5.9880239520958085,26,0,NA,:,NA,:,2,0
20200307,S08000020,NHS Grampian,2,6,1.0246776534881736,1.0246776534881736,0,0,0,9,145,24.76304329263086,15,3,20,11.363636363636363,15,0,NA,:,NA,:,3,0
20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,74,23.063018138752103,6,0,0,0,6,0,NA,:,NA,:,0,0
20200307,S08000024,NHS Lothian,2,5,0.5479512104242238,0.5479512104242238,0,0,0,32,383,41.97306271849554,48,4,8.333333333333332,3.3457249070631967,48,0,NA,:,NA,:,4,0
20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.25,0,0,0,0,0,0,NA,:,NA,:,0,0
20200307,S08000026,NHS Shetland,0,2,8.745080891998251,NA,0,0,0,2,4,17.490161783996502,2,0,0,NA,2,0,NA,:,NA,:,0,0
20200307,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,0,3,11.320754716981131,0,0,0,NA,0,0,NA,:,NA,:,0,0
20200307,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,4,109,29.134258145564377,16,1,6.25,5.714285714285714,16,0,NA,:,NA,:,1,0
20200307,S08000030,NHS Tayside,0,1,0.2400672188212699,0,0,0,0,2,149,35.77001560436923,9,0,0,4.968944099378882,9,0,NA,:,NA,:,0,0
20200307,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,23,488,41.17309574432183,45,3,6.666666666666667,1.5717092337917484,45,0,NA,:,NA,:,3,0
20200307,S08000032,NHS Lanarkshire,1,3,0.4531995890990392,0.4531995890990392,0,0,0,20,204,30.81757205873467,27,3,11.11111111111111,2.564102564102564,27,0,NA,:,NA,:,3,0
20200307,S92000003,Scotland,6,27,0.4939626783754116,0.4756677643615075,0,0,0,125,1951,35.69337724112697,218,17,7.79816513761468,3.456356180433509,218,0,NA,NA,NA,:,17,0
20200308,S08000015,NHS Ayrshire and Arran,0,2,0.5434930297018941,0.5434930297018941,0,0,0,7,108,29.34862360390228,10,0,0,3.0303030303030303,10,0,NA,:,NA,:,0,0
20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,48,41.652204095800066,5,0,0,0,5,0,NA,:,NA,:,0,0
20200308,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,5,90,60.6918875177018,7,0,0,0,7,0,NA,:,NA,:,0,0
20200308,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,11,167,54.587650769783934,28,4,14.285714285714285,6.878306878306878,28,0,NA,:,NA,:,4,0
20200308,S08000020,NHS Grampian,1,7,1.195457262402869,1.0246776534881736,0,0,0,6,151,25.78772094611904,14,4,28.57142857142857,13.684210526315791,14,0,NA,:,NA,:,4,0
20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,81,25.24465498971514,7,0,0,0,7,0,NA,:,NA,:,0,0
20200308,S08000024,NHS Lothian,2,7,0.7671316945939134,0.7671316945939134,0,0,0,21,404,44.27445780227728,31,2,6.451612903225806,3.942652329749104,31,0,NA,:,NA,:,2,0
20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.25,0,0,0,0,0,0,NA,:,NA,:,0,0
